,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
512,Mad Max: Fury Road,2015-05-13,15 May 2015,150000000.0,378858340.0,129483877.0,Action,R,120.0,90.0,8.1,"W6O, ++232,219",Warner Bros.,232.0,219.0,W,6
513,Sicario,2015-09-17,02 Oct 2015,30000000.0,84025816.0,0.0,Action,R,121.0,82.0,7.6,"N3O, ++15,150",Lionsgate,15.0,150.0,N,3
514,Cinderella,2015-03-12,13 Mar 2015,95000000.0,543514353.0,183327144.0,Romance,PG,105.0,67.0,6.9,"N1O, ++8,35",Walt Disney Pictures,8.0,35.0,N,1
515,Amy,2015-07-03,03 Jul 2015,0.0,8413144.0,7851076.0,Documentary,R,128.0,85.0,7.8,"W1O, ++50,44",A24 Films,50.0,44.0,W,1
516,Cartel Land,2015-07-03,03 Jul 2015,0.0,0.0,0.0,Drama,R,100.0,76.0,7.4,"N1O, ++18,35",The Orchard,18.0,35.0,N,1
517,The Look of Silence,2014-08-30,17 Jul 2015,0.0,332710.0,48097.0,History,PG-13,103.0,92.0,8.3,"N1O, ++47,40",Drafthouse Films,47.0,40.0,N,1
518,"What Happened, Miss Simone?",2015-01-22,24 Jun 2015,0.0,0.0,0.0,Documentary,NOT RATED,101.0,75.0,7.6,"N1O, ++6,18",Netflix,6.0,18.0,N,1
519,Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,09 Oct 2015,0.0,0.0,0.0,Documentary,NOT RATED,102.0,79.0,8.4,"N1O, ++2,4",,2.0,4.0,N,1
520,Body Team 12,2015-04-19,19 Apr 2015,0.0,0.0,0.0,Documentary,,13.0,,7.3,"N1O, ++2,2",RYOT Films,2.0,2.0,N,1
521,"Chau, Beyond the Lines",2015-08-21,21 Aug 2015,0.0,0.0,0.0,Documentary,,34.0,,7.1,"N1O, ++5,1",Cynasty Films,5.0,1.0,N,1
522,A Girl in the River: The Price of Forgiveness,2015-10-28,28 Oct 2015,0.0,0.0,0.0,Documentary,TV-PG,40.0,,7.9,"W1O, ++++1,,",HBO Documentary Films,1.0,,W,1
523,Last Day of Freedom,2015-04-11,11 Apr 2015,0.0,0.0,0.0,Animation,,32.0,,7.6,"N1O, ++5,,",,5.0,,N,1
524,Star Wars: The Force Awakens,2015-12-15,18 Dec 2015,245000000.0,2068223624.0,936658640.0,Action,PG-13,136.0,81.0,8.0,"N5O, ++57,123",Walt Disney Pictures,57.0,123.0,N,5
525,Mustang,2015-06-17,17 Jun 2015,1300000.0,250000.0,560778.0,Drama,PG-13,97.0,83.0,7.6,"N1O, ++42,58",CG Cinéma,42.0,58.0,N,1
526,A Private War,2018-11-16,16 Nov 2018,0.0,0.0,0.0,Drama,,106.0,76.0,7.0,"0, 0, 0, 0,",Aviron Pictures,0.0,,,0
527,The Bath Song & More Kids Songs: Super Simple Songs,2015-04-22,10 Jul 2017,0.0,0.0,0.0,Music,,40.0,,,"0, 0, 0, 0,",,0.0,,,0
528,Prologue,2015-06-01,23 Feb 2016,0.0,0.0,0.0,Action,,6.0,,6.3,"N1O, ++1",Animation Masterclass,0.0,,N,1
529,Sanjay's Super Team,2015-11-25,25 Nov 2015,0.0,0.0,0.0,Animation,PG,7.0,,6.9,"N1O, ++2",Pixar,0.0,,N,1
530,World of Tomorrow,2015-03-05,31 Mar 2015,0.0,0.0,0.0,Animation,G,17.0,,8.2,"N1O, ++27,3",,27.0,3.0,N,1
531,Ave Maria,2015-05-18,21 Jun 2015,0.0,0.0,0.0,Comedy,,15.0,,6.5,"N1O, ++10,21",Incognito Films,10.0,21.0,N,1
532,Shok,2015-04-10,23 Feb 2016,0.0,0.0,0.0,Drama,,21.0,,8.2,"N1O, ++14,4",,14.0,4.0,N,1
533,Stutterer,2015-07-08,09 Sep 2015,0.0,0.0,0.0,Drama,,12.0,,7.7,"W1O, ++5,1",Bare Golly Films,5.0,1.0,W,1
534,Ex Machina,2015-01-21,24 Apr 2015,15000000.0,36869414.0,19012798.0,Drama,R,108.0,78.0,7.7,"W1O, ++70,153",A24 Films,70.0,153.0,W,1
535,Straight Outta Compton,2015-08-13,14 Aug 2015,28000000.0,201634991.0,129402415.0,Drama,R,147.0,72.0,7.9,"N1O, ++27,40",Universal Pictures,27.0,40.0,N,1
536,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016-05-14,07 Jan 2017,10000000.0,0.0,0.0,Documentary,TV-14,95.0,78.0,8.0,"N2 Primetime Emmys, ++++1,4",HBO Films,1.0,4.0,N,2
537,He Got Game,1998-05-01,01 May 1998,25000000.0,21567853.0,0.0,Drama,R,136.0,63.0,6.9,10,Buena Vista,,,,1
538,Mumford,,24 Sep 1999,,,0.0,,R,112.0,62.0,6.9,"++1,1",Buena Vista Pictures,0.0,1.0,,1
539,King Richard and the Crusaders,,07 Aug 1954,,,0.0,,APPROVED,114.0,,5.7,"0, 0, 0, 0,",Warner Home Video,0.0,,,0
540,...Og det var Danmark,,09 Apr 2008,,,0.0,,,107.0,,7.6,"0, 0, 0, 0,",,0.0,,,0
541,La môme aux boutons,,22 Oct 1958,,,0.0,,,98.0,,,"0, 0, 0, 0,",,0.0,,,0
542,I'm Not There,,07 Dec 2007,,,4000000.0,,R,135.0,73.0,7.0,"N1O, ++27,45",The Weinstein Co.,27.0,45.0,N,1
543,A Christmas Eve Conversation with Quentin Tarantino & Paul Thomas Anderson,,24 Dec 2015,,,0.0,,,41.0,,6.8,"0, 0, 0, 0,",,0.0,,,0
544,Julie,,17 Oct 1956,,,0.0,,APPROVED,99.0,,6.2,"0, 0, 0, 0,",Warner Home Video,0.0,,,0
545,Rosy-Fingered Dawn: a Film on Terrence Malick,,01 Sep 2002,,,0.0,,,90.0,,6.2,"0, 0, 0, 0,",,0.0,,,0
546,Wallace,,24 Apr 2014,,,0.0,,,19.0,,9.3,"++1,,",,,,,1
547,Don't Tell Mom the Babysitter's Dead,,07 Jun 1991,,,0.0,,PG-13,102.0,35.0,6.1,4,,,,,4
548,The Making of 'Sophie Scholl - Die letzten Tage',,27 Feb 2005,,,0.0,,,45.0,,,"0, 0, 0, 0,",,0.0,,,0
549,Siðasti bærinn í dalnum,,11 Mar 1950,,,0.0,,,0.0,,7.0,"0, 0, 0, 0,",,0.0,,,0
550,Eddie Murphy: Raw,,18 Dec 1987,,,0.0,,R,93.0,54.0,7.6,"0, 0, 0, 0,",Paramount Pictures,0.0,,,0
551,"My Country, No More",,,,,0.0,,,0.0,,,"0, 0, 0, 0,",,0.0,,,0
552,Indigènes: Sur les traces d'indigène,,01 Nov 2006,,,0.0,,,52.0,,,"0, 0, 0, 0,",,0.0,,,0
553,The Stig-Helmer Story,,25 Dec 2011,,,0.0,,,100.0,,4.4,1,,,,,1
554,Flags of our Fathers,,20 Oct 2006,,,33600000.0,,R,135.0,79.0,7.1,"N2O, ++15,24",Paramount,15.0,24.0,N,2
555,Katyn,,21 Sep 2007,,,0.0,,,121.0,81.0,7.1,"N1O, ++14,12",Artificial Eye,14.0,12.0,N,1
556,The Betrayal - Nerakhoon,,21 Nov 2008,,,0.0,,,96.0,78.0,7.3,"N1O, ++2,4",The Cinema Guild,2.0,4.0,N,1
557,The Lady and the Reaper (La dama y la muerte),,19 Feb 2010,,,0.0,,TV-G,8.0,,7.2,"0, 0, 0, 0,",,0.0,,,0
558,GasLand,,17 Jan 2011,,,30846.0,,NOT RATED,107.0,,7.7,"N1O, ++7,6",Independent Pictures,7.0,6.0,N,1
559,Bandits en automobile - Épisode 2: Hors-la-loi,,,,,0.0,,,0.0,,6.3,"0, 0, 0, 0,",,0.0,,,0
560,"Eros, O Deus do Amor",,,,,0.0,,,107.0,,6.3,"5,,",,,,,5
561,Chico,,17 Jan 2002,,,0.0,,,112.0,,7.1,"5,3",,0.0,3.0,,5
562,God Is the Bigger Elvis,,01 Apr 2012,,,0.0,,,37.0,,7.1,"N1O, ++++1,2",HBO Documentary Films,1.0,2.0,N,1
563,The Fantastic Flying Books of Mr. Morris Lessmore,,24 Sep 2014,,,0.0,,TV-G,15.0,,8.0,"W1O, ++6,1",,6.0,1.0,W,1
564,Jagal Bhaag Hamar,,01 Jan 1978,,,0.0,,,0.0,,,"0, 0, 0, 0,",,0.0,,,0
565,Star Trek: Into Darkness,,16 May 2013,,,228756232.0,,PG-13,132.0,72.0,7.7,"N1O, ++6,56",Paramount,6.0,56.0,N,1
566,Theeb,,19 Mar 2015,,,128430.0,,NOT RATED,100.0,80.0,7.2,"N1O, ++10,14",Noor Pictures,10.0,14.0,N,1
